Designator	Package	Mid X	Mid Y	TB	Rotation		
C1	C_0603_1608Metric	-982.498035mil	752.498495mil	B	90.00		
C2	C_0603_1608Metric	-607.498785mil	817.498365mil	B	270.00		
C3	C_0603_1608Metric	-642.656195mil	582.498835mil	B	270.00		
C4	C_0603_1608Metric	-747.498505mil	582.498835mil	B	270.00		
F1	Fuse_0603_1608Metric	-1077.497845mil	898.718675mil	B	270.00		
R1	R_0603_1608Metric	-882.813195mil	520.766675mil	B	0.00		
R2	R_0603_1608Metric	-882.498235mil	607.498785mil	B	0.00		
R3	R_0603_1608Metric	-792.498415mil	997.498005mil	B	0.00		
R4	R_0603_1608Metric	-1205.647195mil	658.561675mil	B	90.00		
R5	R_0603_1608Metric	-1482.497035mil	672.498655mil	B	90.00		
SW1	SKQG-1155865	-193.838195mil	859.348675mil	B	90.00		
U1	QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm	-799.44722mil	823.746384mil	B	0.00		
U2	SOT143B	-1372.497255mil	677.498645mil	B	180.00		
USB1	HRO-TYPE-C-31-M-12	-1346.245339mil	1104.99779mil	B	0.00		
Y1	CSTNE16M0V51Z000R0	-453.680195mil	705.805675mil	B	270.00		
							
							
							
							
